Query,Vector RAG,GraphRAG,,,,
When did the Indian Super League start?,"The Indian Super League was officially launched on 21 October 2013 by IMG–Reliance, Star Sports, and the All India Football Federation. The competition was announced to take place from January 2014 to March 2014, but was postponed shortly thereafter to September 2014.","The Indian Super League was officially launched on 21 October 2013 by IMG–Reliance, Star Sports, and the All India Football Federation. The competition was announced to take place from January 2014 to March 2014, but was postponed shortly thereafter to September 2014.",,,,
,"The regular season of the Indian Super League usually runs from September to April (since the 2017–18 season). The competition consists of 24 rounds that follow a double round-robin format, with each club playing the others twice, once at their home stadium and once at their opponents' stadium, for a total of 24 matches each. Teams receive three points for a win, one point for a draw, and no points for a loss. Teams are ranked by total points. From the 2019–20 season, the team with the highest-ranked club at the end of the regular season had been awarded the League Winners' Shield up to 2024–25 season. From the 2025–26 season, the team finishing first in the league table is awarded the ISL trophy.","The regular season of the Indian Super League usually runs from September to April (since the 2017–18 season). The competition consists of 24 rounds that follow a double round-robin format, with each club playing the others twice, once at their home stadium and once at their opponents' stadium, for a total of 24 matches each. Teams receive three points for a win, one point for a draw, and no points for a loss. Teams are ranked by total points. From the 2019–20 season, the team with the highest-ranked club at the end of the regular season had been awarded the League Winners' Shield up to 2024–25 season. From the 2025–26 season, the team finishing first in the league table is awarded the ISL trophy.",,,,
,"Following the Indian football roadmap, the Indian Super League became the sole top-tier league in the country from the 2022–23 season. Before the 2023–24 season, Punjab FC became the first club to be promoted to the league from the I-League. Similarly, Mohammedan SC and Inter Kashi won the next I-Leagues and was promoted for 2024–25 and 2025–26 ISL season respectively.

The Indian football roadmap also recommended relegation to be adopted by the 2024–25 season. However, no official confirmation of its implementation has been released yet.","Following the Indian football roadmap, the Indian Super League became the sole top-tier league in the country from the 2022–23 season. Before the 2023–24 season, Punjab FC became the first club to be promoted to the league from the I-League. Similarly, Mohammedan SC and Inter Kashi won the next I-Leagues and was promoted for 2024–25 and 2025–26 ISL season respectively.

The Indian football roadmap also recommended relegation to be adopted by the 2024–25 season. However, no official confirmation of its implementation has been released yet.",,,,
,"During the first three seasons of the Indian Super League, attendance across the competition exceeded the expectations of pundits and the domestic I-League mainly due to the timing of the matches, mostly on working days, and extensive promotion. Television ratings were also strong for the competition, due to better commentary and telecasting, pre-match and post-match shows, as well as hourly reminders in various channels and social media interaction. However, despite the general success off the pitch, the competition drew criticism in other areas. Due to the need to accommodate the ISL into the Indian football calendar, the I-League season was shortened and went from having an October to May schedule to a January to May schedule. Indian players would play for both an ISL team and an I-League club while the I-League continued to suffer from a lack of visibility compared to the ISL. India's then head coach Stephen Constantine had called for both the ISL and I-League to either run together at the same time or merge.","During the first three seasons of the Indian Super League, attendance across the competition exceeded the expectations of pundits and the domestic I-League mainly due to the timing of the matches, mostly on working days, and extensive promotion. Television ratings were also strong for the competition, due to better commentary and telecasting, pre-match and post-match shows, as well as hourly reminders in various channels and social media interaction. However, despite the general success off the pitch, the competition drew criticism in other areas. Due to the need to accommodate the ISL into the Indian football calendar, the I-League season was shortened and went from having an October to May schedule to a January to May schedule. Indian players would play for both an ISL team and an I-League club while the I-League continued to suffer from a lack of visibility compared to the ISL. India's then head coach Stephen Constantine had called for both the ISL and I-League to either run together at the same time or merge",,,,
,"The Indian Super League (ISL) is a professional association football league in India and the highest level of the Indian football league system. Contested by 14 clubs, it operates on a system of promotion and relegation with the Indian Football League. It is administered by the All India Football Federation (AIFF).

The current season runs from February to May. The 14 participating clubs will compete in a single-leg round-robin format, with each team playing 13 matches. The table toppers at the end of the league will be crowned the champions. ISL clubs qualify for AFC continental club competitions, with the league champions earning qualification for the subsequent season's AFC Champions League Two qualifying playoffs.","The Indian Super League (ISL) is a professional association football league in India and the highest level of the Indian football league system. Contested by 14 clubs, it operates on a system of promotion and relegation with the Indian Football League. It is administered by the All India Football Federation (AIFF).

The current season runs from February to May. The 14 participating clubs will compete in a single-leg round-robin format, with each team playing 13 matches. The table toppers at the end of the league will be crowned the champions. ISL clubs qualify for AFC continental club competitions, with the league champions earning qualification for the subsequent season's AFC Champions League Two qualifying playoffs",,,,
Who scored first score in ISL?,"Since the league's inaugural season, six clubs have won the ISL trophy: ATK (3), Chennaiyin (2), Mumbai City (2), Mohun Bagan (2), Bengaluru (1), and Hyderabad FC (1). Since the introduction of the League Winners' Shield in the 2019–20 season, Mumbai City and Mohun Bagan have won it twice, while Goa and Jamshedpur have won it once each. In the 2024–25 season, Mohun Bagan became the first team to successfully defend the League Shield. Mohun Bagan also became the first team to earn 50 points or more in the league, setting a record with 56 points in the 2024–25 league season.","After finishing in fourth place during the regular season, the side played their first semi-finals match on 13 December 2014 against Chennaiyin. Despite not being considered the favourite to win the two-legged tie, they won the first leg at home 3–0 with goals from Ishfaq Ahmed, Iain Hume, and Sushanth Mathew. During the second leg in Chennai, the Blasters were about to suffer a massive setback. Despite entering the second leg with a three-goal advantage, Chennaiyin drew the tie level by winning in regular time 3–0. In extra time, however, Stephen Pearson scored the decisive goal in the 117th minute to win the tie 4–3 to enter the final.",,,,
,"The inaugural season began on 12 October 2014 at the Salt Lake Stadium when Atlético de Kolkata defeated Mumbai City, 3–0. The first goal was scored by Fikru Teferra. The first Indian to score in the league was Balwant Singh for Chennaiyin FC.

For the first three seasons of the Indian Super League, the competition operated without official recognition from the governing body for football in Asia, the Asian Football Confederation (AFC), and the world football governing body FIFA. In October 2014, then FIFA Secretary General Jérôme Valcke stated that the world governing body only recognized the ISL as a tournament, not a league. The official league for football in India remained the I-League. With no recognition from the AFC, the teams also could not participate in Asian club competitions, the AFC Champions League or the AFC Cup.","They played the opening match of the season on 7 October against East Bengal FC, which they won 3–1. Even though the Blasters lost their next three games, they recovered from the bad run and went on an eight match unbeaten streak and five consecutive wins for the first time in their history in this season. By the end of the season, the Blasters won ten of their twenty league stage matches, which became a club record, and ended up 5th in the table and qualified for the playoffs. The Blasters met arch-rivals Bengaluru FC in the first knockout stage match in a new format for the ISL playoffs. The match that took place on 3 March is known for the controversial Sunil Chhetri's goal and walk-off by the Kerala Blasters players. Ivan Vukomanović called-off the Blasters players from the pitch into the dressing room after the referee gave green light to the Sunil Chhetri's free-kick goal for Bengaluru in the extra-time, which the Blasters players and staff deemed illegitimate citing that the Blasters players did not set themselves in their defensive positions prior to the free-kick was taken. Bengaluru was awarded the win, and the Blasters appealed to the federation for the match to be replayed and demanded for the match referee Crystal John to be banned from refereeing. The AIFF disciplinary committee rejected the Blasters' appeal and imposed a fine of rupees four crores on the Blasters for abandoning the match and asked them to issue a public apology within a week, failing which they would be obliged to pay a fine of rupees six crores, and Vukomanović was handed a ten-match ban by the AIFF-DC from taking part in any AIFF held tournaments along with a fine of rupees five lakhs, and directed him to issue a public apology within a week as well, failing which the fine would be doubled to rupees ten lakhs. The club and Vukomanović then issued their apologies and 'regrets' as demanded by the AIFF-DC, giving a dramatic end to their ISL campaign",,,,
,"After finishing in fourth place during the regular season, the side played their first semi-finals match on 13 December 2014 against Chennaiyin. Despite not being considered the favourite to win the two-legged tie, they won the first leg at home 3–0 with goals from Ishfaq Ahmed, Iain Hume, and Sushanth Mathew. During the second leg in Chennai, the Blasters were about to suffer a massive setback. Despite entering the second leg with a three-goal advantage, Chennaiyin drew the tie level by winning in regular time 3–0. In extra time, however, Stephen Pearson scored the decisive goal in the 117th minute to win the tie 4–3 to enter the final.","He also played in the Irani Trophy for Mumbai, where he scored 140* against Rest of India and helped Mumbai to score 409 in reply to Rest of India's 526. This was also his 81st hundred in first-class cricket, equalling Sunil Gavaskar's Indian record for most first-class hundreds.",,,,
,"Due to the COVID-19 pandemic, the seventh season of ISL was decided to take place in 3 venues in Goa behind closed doors. Same as in the previous season, the team suffered an early setback, with this time, captain Sergio Cidoncha suffering a ligament injury on his right ankle during their third match against Chennaiyin FC, ruling out for the remainder of the season. It took the Blasters seven games to register their first victory of the season, winning against Hyderabad FC 2–0. The team was affected by injuries, lesser compared to the previous season. They lost 18 points from the winning position, which includes 4 losses after taking the early lead. The club had the worst defensive performance in their history conceding 33 goals in 18 games and having only 3 wins. On 17 February 2021, after a 4–0 loss against Hyderabad FC on 16 February, Kibu Vicuna and the management decided to part ways on mutual consent. Assistant manager Ishfaq Ahmed was appointed as the interim head coach for the remaining 2 games of the season. The club's fortunes remained largely unchanged in the season as they finished tenth place in the league table","Kerala Blasters played their first game on 13 October 2014 against NorthEast United at the Indira Gandhi Athletic Stadium; they lost the game 1–0 after Koke scored in the 45th minute. On 21 October, the club's first-ever goal was scored by Iain Hume during their second match, which was against Chennaiyin. Despite Hume's goal, the Blasters lost the game 2–1. The club's first win came in their fourth game, which was played against Pune City; Chinadorai Sabeeth and Penn Orji scored the club's goals, leading to a 2–1 victory. After playing their first five matches away from home, Kerala Blasters hosted their first home match on 6 November 2014 against Goa. A goal by Milagres Gonsalves led to a 1–0 victory in front of 49,517 fans at the Jawaharlal Nehru Stadium. The Blasters qualified for the playoffs on 9 December 2014 with a 1–0 victory over Pune City.",,,,
,"He also played in the Irani Trophy for Mumbai, where he scored 140* against Rest of India and helped Mumbai to score 409 in reply to Rest of India's 526. This was also his 81st hundred in first-class cricket, equalling Sunil Gavaskar's Indian record for most first-class hundreds.","The top two clubs after the regular season automatically progress to the ISL Cup playoffs. The third-through-sixth ranked clubs play a single-elimination match hosted at the higher-ranked club's venue, with the two winners joining the first and second-ranked clubs in two-legged semifinals played over two weeks. The two winners eventually meet in the ISL Cup final hosted at the home stadium of the higher-ranked club since 2024. From the 2025–26 season, the playoffs stage is discarded.",,,,
